t_sec,cte_m,hdg_err_rad,hdg_term_rad,cte_term_rad,fb_sum_rad,steer_raw_rad,steer_cmd_rad,speed_mps,path_idx,kappa_1pm,ff_rad,before_sat_rad,lat_active_m,path_x,path_y,csv_lat_m,veh_x,veh_y,veh_yaw_rad,accel_x_mps2,accel_u,accel_add_rad
0.202,-0.099527,0.011198,0.008721,-0.393112,-0.384391,-0.427821,-0.429998,0.0,6.0,-0.101272,-0.04343,-0.427821,0.345747,5.38293,-6.259561,0.108855,5.173916,-5.984144,-0.629649,-0.0,0.0,0.0
0.203,-0.099527,0.011198,0.008721,-0.393112,-0.384391,-0.427821,-0.429018,0.0,6.0,-0.101272,-0.04343,-0.427821,0.345747,5.38293,-6.259561,0.108855,5.173916,-5.984144,-0.629649,-0.0,0.0,0.0
0.203,-0.099527,0.011198,0.008721,-0.393112,-0.384391,-0.427821,-0.428479,0.0,6.0,-0.101272,-0.04343,-0.427821,0.345747,5.38293,-6.259561,0.108855,5.173916,-5.984144,-0.629649,-0.0,0.0,0.0
0.203,-0.099527,0.011198,0.008721,-0.393112,-0.384391,-0.427821,-0.428183,0.0,6.0,-0.101272,-0.04343,-0.427821,0.345747,5.38293,-6.259561,0.108855,5.173916,-5.984144,-0.629649,-0.0,0.0,0.0
0.204,-0.099527,0.011198,0.008721,-0.393112,-0.384391,-0.427821,-0.42802,0.0,6.0,-0.101272,-0.04343,-0.427821,0.345747,5.38293,-6.259561,0.108855,5.173916,-5.984144,-0.629649,-0.0,0.0,0.0
0.225,-0.101395,0.011322,0.008771,-0.39945,-0.390679,-0.434109,-0.43076,9.5e-05,6.0,-0.101272,-0.04343,-0.434109,0.346322,5.378615,-6.25649,0.110943,5.170708,-5.979518,-0.629773,0.001844,0.0,0.0
0.257,-0.101395,0.011322,0.008771,-0.399358,-0.390587,-0.434017,-0.432226,0.000126,6.0,-0.101272,-0.04343,-0.434017,0.346322,5.378615,-6.25649,0.110943,5.170708,-5.979518,-0.629773,0.001291,0.0,0.0
0.288,-0.106174,0.013059,0.009978,-0.416291,-0.406313,-0.449742,-0.440108,7.1e-05,7.0,-0.101272,-0.04343,-0.449742,0.347977,5.362925,-6.245326,0.117029,5.158127,-5.963997,-0.63151,-0.001084,0.0,0.0
0.316,-0.106271,0.012276,0.009377,-0.416681,-0.407304,-0.450734,-0.44489,5.3e-05,6.0,-0.101272,-0.04343,-0.450734,0.347929,5.38215,-6.259006,0.115982,5.177256,-5.977807,-0.630728,-0.000758,0.0,0.0
0.346,-0.106271,0.012276,0.009377,-0.416753,-0.407376,-0.450806,-0.447552,3e-05,6.0,-0.101272,-0.04343,-0.450806,0.347929,5.38215,-6.259006,0.115982,5.177256,-5.977807,-0.630728,-0.000372,0.0,0.0
0.375,-0.102553,0.009805,0.00757,-0.403754,-0.396184,-0.439614,-0.44398,2.2e-05,6.0,-0.101272,-0.04343,-0.439614,0.346527,5.393611,-6.267161,0.110973,5.186081,-5.989651,-0.628256,-0.00026,0.0,0.0
0.406,-0.102553,0.009805,0.00757,-0.403784,-0.396214,-0.439643,-0.442028,1.3e-05,6.0,-0.101272,-0.04343,-0.439643,0.346527,5.393611,-6.267161,0.110973,5.186081,-5.989651,-0.628256,-0.000127,0.0,0.0
0.442,-0.11174,0.015552,0.011691,-0.435708,-0.424018,-0.467448,-0.453467,9e-06,7.0,-0.101272,-0.04343,-0.467448,0.350047,5.367958,-6.248907,0.123165,5.166873,-5.962379,-0.634004,-8.9e-05,0.0,0.0
0.464,-0.106847,0.010822,0.008253,-0.418836,-0.410583,-0.454013,-0.453713,5e-06,6.0,-0.101272,-0.04343,-0.454013,0.347965,5.377919,-6.255995,0.116256,5.173076,-5.974714,-0.629273,-4.4e-05,0.0,0.0
0.495,-0.106847,0.010822,0.008253,-0.41884,-0.410587,-0.454017,-0.45385,4e-06,6.0,-0.101272,-0.04343,-0.454017,0.347965,5.377919,-6.255995,0.116256,5.173076,-5.974714,-0.629273,-3.1e-05,0.0,0.0
0.526,-0.109659,0.017111,0.012941,-0.428581,-0.41564,-0.459069,-0.456198,2e-06,7.0,-0.101272,-0.04343,-0.459069,0.349519,5.369575,-6.250058,0.12152,5.167589,-5.964812,-0.635562,-1.5e-05,0.0,0.0
0.557,-0.109659,0.017111,0.012941,-0.428583,-0.415641,-0.459071,-0.457491,2e-06,7.0,-0.101272,-0.04343,-0.459071,0.349519,5.369575,-6.250058,0.12152,5.167589,-5.964812,-0.635562,-1e-05,0.0,0.0
0.591,-0.10742,0.012996,0.009894,-0.420838,-0.410944,-0.453901,-0.455875,1e-06,7.0,-0.100169,-0.042957,-0.453901,0.348368,5.396575,-6.269293,0.11853,5.194037,-5.985852,-0.636928,-5e-06,0.0,0.0
0.615,-0.10742,0.012996,0.009894,-0.420839,-0.410945,-0.453901,-0.454987,1e-06,7.0,-0.100169,-0.042957,-0.453901,0.348368,5.396575,-6.269293,0.11853,5.194037,-5.985852,-0.636928,-4e-06,0.0,0.0
0.646,-0.10304,0.007954,0.006133,-0.405536,-0.399403,-0.442359,-0.449305,0.0,7.0,-0.100169,-0.042957,-0.442359,0.346494,5.39572,-6.268678,0.112534,5.189638,-5.990131,-0.631886,-2e-06,0.0,0.0
0.689,-0.10304,0.007954,0.006133,-0.405536,-0.399403,-0.44236,-0.446179,0.0,7.0,-0.100169,-0.042957,-0.44236,0.346494,5.39572,-6.268678,0.112534,5.189638,-5.990131,-0.631886,-1e-06,0.0,0.0
0.705,-0.106781,0.015067,0.011492,-0.418623,-0.407131,-0.450561,-0.448151,0.0,6.0,-0.101272,-0.04343,-0.450561,0.348373,5.3808,-6.258045,0.117469,5.176746,-5.975688,-0.633518,-1e-06,0.0,0.0
