x,y,v
-14.539944,5.281207,2.010
-14.494666,5.302457,2.023
-14.449174,5.323247,2.037
-14.403476,5.343576,2.050
-14.357576,5.363448,2.063
-14.311483,5.382867,2.077
-14.265202,5.401835,2.090
-14.218741,5.420357,2.104
-14.172106,5.438435,2.117
-14.125303,5.456075,2.131
-14.078338,5.473279,2.145
-14.031218,5.490051,2.159
-13.983947,5.506397,2.173
-13.936533,5.522320,2.187
-13.888980,5.537824,2.201
-13.841294,5.552915,2.216
-13.793480,5.567595,2.231
-13.745544,5.581871,2.246
-13.697490,5.595746,2.261
-13.649324,5.609224,2.276
-13.601050,5.622311,2.292
-13.552672,5.635012,2.308
-13.504196,5.647329,2.324
-13.455625,5.659268,2.340
-13.406964,5.670832,2.357
-13.358216,5.682026,2.374
-13.309385,5.692855,2.391
-13.260476,5.703322,2.409
-13.211492,5.713433,2.427
-13.162437,5.723192,2.446
-13.113313,5.732604,2.465
-13.064126,5.741674,2.485
-13.014878,5.750407,2.505
-12.965571,5.758807,2.524
-12.916211,5.766882,2.544
-12.866798,5.774634,2.563
-12.817338,5.782071,2.582
-12.767831,5.789197,2.601
-12.718282,5.796018,2.620
-12.668692,5.802539,2.639
-12.619064,5.808766,2.658
-12.569401,5.814704,2.676
-12.519705,5.820359,2.694
-12.469979,5.825736,2.713
-12.420223,5.830840,2.731
-12.370441,5.835678,2.749
-12.320634,5.840253,2.766
-12.270804,5.844572,2.784
-12.220953,5.848640,2.802
-12.171082,5.852462,2.819
-12.121194,5.856044,2.837
-12.071289,5.859389,2.854
-12.021370,5.862505,2.871
-11.971437,5.865395,2.888
-11.921491,5.868065,2.905
-11.871535,5.870521,2.922
-11.821569,5.872767,2.939
-11.771594,5.874807,2.956
-11.721611,5.876648,2.972
-11.671621,5.878294,2.989
-11.621626,5.879751,3.000
-11.571625,5.881023,3.000
-11.521620,5.882116,3.000
-11.471612,5.883034,3.000
-11.421601,5.883784,3.000
-11.371588,5.884371,3.000
-11.321573,5.884801,3.000
-11.271557,5.885080,3.000
-11.221541,5.885212,3.000
-11.171524,5.885203,3.000
-11.121507,5.885060,3.000
-11.071491,5.884788,3.000
-11.021476,5.884393,3.000
-10.971462,5.883881,3.000
-10.921449,5.883257,3.000
-10.871438,5.882527,3.000
-10.821428,5.881698,3.000
-10.771420,5.880774,3.000
-10.721413,5.879763,3.000
-10.671409,5.878668,3.000
-10.621406,5.877497,3.000
-10.571404,5.876252,3.000
-10.521405,5.874939,3.000
-10.471407,5.873560,3.000
-10.421411,5.872119,3.000
-10.371417,5.870620,3.000
-10.321425,5.869067,3.000
-10.271434,5.867463,3.000
-10.221444,5.865813,3.000
-10.171456,5.864120,3.000
-10.121469,5.862387,3.000
-10.071484,5.860620,3.000
-10.021500,5.858822,3.000
-9.971516,5.856996,3.000
-9.921534,5.855147,3.000
-9.871552,5.853279,3.000
-9.821571,5.851395,3.000
-9.771590,5.849501,3.000
-9.721609,5.847599,3.000
-9.671629,5.845694,3.000
-9.621648,5.843790,3.000
-9.571668,5.841891,3.000
-9.521687,5.840000,3.000
-9.471705,5.838122,3.000
-9.421723,5.836258,3.000
-9.371741,5.834405,3.000
-9.321758,5.832565,3.000
-9.271775,5.830734,3.000
-9.221791,5.828914,3.000
-9.171807,5.827102,3.000
-9.121823,5.825298,3.000
-9.071839,5.823501,3.000
-9.021854,5.821711,3.000
-8.971869,5.819926,3.000
-8.921884,5.818145,3.000
-8.871899,5.816369,3.000
-8.821914,5.814595,3.000
-8.771929,5.812823,3.000
-8.721943,5.811052,3.000
-8.671958,5.809281,3.000
-8.621973,5.807510,3.000
-8.571987,5.805738,3.000
-8.522002,5.803963,3.000
-8.472017,5.802184,3.000
-8.422032,5.800402,3.000
-8.372047,5.798615,3.000
-8.322063,5.796822,3.000
-8.272078,5.795022,3.000
-8.222094,5.793215,3.000
-8.172111,5.791400,3.000
-8.122127,5.789575,3.000
-8.072144,5.787740,3.000
-8.022162,5.785894,3.000
-7.972179,5.784036,3.000
-7.922198,5.782166,3.000
-7.872217,5.780281,3.000
-7.822236,5.778383,3.000
-7.772256,5.776469,3.000
-7.722276,5.774539,3.000
-7.672298,5.772592,3.000
-7.622319,5.770627,3.000
-7.572342,5.768643,3.000
-7.522366,5.766640,3.000
-7.472390,5.764616,3.000
-7.422415,5.762570,3.000
-7.372441,5.760503,3.000
-7.322468,5.758412,3.000
-7.272496,5.756297,3.000
-7.222525,5.754158,3.000
-7.172555,5.751993,3.000
-7.122587,5.749801,3.000
-7.072619,5.747582,3.000
-7.022653,5.745334,3.000
-6.972688,5.743057,3.000
-6.922725,5.740751,3.000
-6.872763,5.738413,3.000
-6.822802,5.736044,3.000
-6.772843,5.733642,3.000
-6.722886,5.731206,3.000
-6.672930,5.728736,3.000
-6.622976,5.726231,3.000
-6.573024,5.723690,3.000
-6.523074,5.721112,3.000
-6.473125,5.718496,3.000
-6.423179,5.715842,3.000
-6.373235,5.713148,3.000
-6.323293,5.710414,3.000
-6.273354,5.707638,3.000
-6.223416,5.704820,3.000
-6.173481,5.701960,3.000
-6.123549,5.699055,3.000
-6.073619,5.696106,3.000
-6.023692,5.693112,3.000
-5.973768,5.690071,3.000
-5.923847,5.686983,3.000
-5.873929,5.683846,3.000
-5.824014,5.680661,3.000
-5.774102,5.677424,3.000
-5.724193,5.674131,3.000
-5.674289,5.670780,3.000
-5.624389,5.667367,3.000
-5.574493,5.663888,3.000
-5.524603,5.660339,2.993
-5.474717,5.656718,2.983
-5.424838,5.653020,2.974
-5.374964,5.649243,2.964
-5.325096,5.645383,2.955
-5.275235,5.641435,2.945
-5.225382,5.637398,2.936
-5.175536,5.633267,2.926
-5.125698,5.629039,2.917
-5.075869,5.624711,2.907
-5.026049,5.620278,2.897
-4.976239,5.615738,2.887
-4.926439,5.611087,2.878
-4.876650,5.606322,2.868
-4.826872,5.601439,2.858
-4.777107,5.596434,2.848
-4.727354,5.591305,2.838
-4.677614,5.586048,2.828
-4.627888,5.580660,2.818
-4.578178,5.575136,2.808
-4.528482,5.569474,2.798
-4.478803,5.563670,2.788
-4.429142,5.557721,2.778
-4.379498,5.551623,2.768
-4.329874,5.545373,2.758
-4.280269,5.538968,2.748
-4.230684,5.532404,2.737
-4.181122,5.525678,2.727
-4.131582,5.518787,2.717
-4.082067,5.511726,2.706
-4.032576,5.504493,2.696
-3.983111,5.497084,2.685
-3.933673,5.489497,2.675
-3.884263,5.481726,2.664
-3.834884,5.473771,2.654
-3.785534,5.465626,2.643
-3.736217,5.457288,2.633
-3.686934,5.448755,2.622
-3.637685,5.440023,2.611
-3.588473,5.431089,2.600
-3.539299,5.421949,2.589
-3.490164,5.412600,2.579
-3.441069,5.403039,2.568
-3.392017,5.393262,2.557
