x,y
7.228600,-0.938580
7.228650,-0.736936
7.238372,-0.535818
7.315467,-0.352136
7.453256,-0.205343
7.599320,-0.066330
7.742636,0.075516
7.885251,0.218071
8.027835,0.360655
8.170231,0.503426
8.308116,0.650450
8.415706,0.819397
8.456941,1.015679
8.505792,1.210338
8.580996,1.397061
8.598734,1.597401
8.602144,1.798982
8.546979,1.989925
8.422951,2.148774
8.342522,2.327693
8.422427,2.508301
8.478291,2.694191
8.373122,2.862527
8.232737,3.007226
8.090181,3.149839
7.947597,3.292423
7.805162,3.435156
7.665395,3.580469
7.534966,3.734193
7.402487,3.886096
7.257502,4.026096
7.082276,4.118231
6.905515,4.030899
6.759354,3.892065
6.616652,3.749598
6.472500,3.608610
6.318704,3.478380
6.138567,3.389967
5.940539,3.352732
5.756036,3.273881
5.574364,3.187708
5.375324,3.163667
5.182846,3.114593
5.018963,2.997358
4.844990,2.896359
4.659130,2.818192
4.474931,2.736169
4.290712,2.654175
4.106211,2.572826
3.928102,2.478453
3.749180,2.385926
3.551098,2.352502
3.350532,2.333667
3.150957,2.305671
2.952205,2.327694
2.779707,2.430392
2.628662,2.563892
2.484862,2.705246
2.342234,2.847786
2.199315,2.990034
2.050404,3.125839
1.882234,3.236293
1.707654,3.336905
1.552528,3.465227
1.408611,3.606448
1.266008,3.749012
1.123423,3.891597
0.980839,4.034181
0.838171,4.176680
0.693136,4.316730
0.532412,4.437802
0.344222,4.507668
0.146005,4.497829
-0.028764,4.398960
-0.202274,4.296533
-0.381863,4.204875
-0.554794,4.101305
-0.723334,3.990614
-0.887995,3.874237
-1.058746,3.767299
-1.241586,3.682338
-1.418023,3.585144
-1.590914,3.481798
-1.783015,3.425892
-1.983121,3.405288
-2.154664,3.302248
-2.316776,3.182762
-2.508152,3.129224
-2.699936,3.186392
-2.894333,3.204122
-3.076758,3.120386
-3.267018,3.158913
-3.430053,3.277229
-3.619531,3.318057
-3.809043,3.249950
-4.008367,3.233838
-4.207108,3.266417
-4.394723,3.338369
-4.569381,3.439068
-4.758646,3.507625
-4.944428,3.584065
-5.105801,3.704386
-5.252343,3.842860
-5.395175,3.985196
-5.537760,4.127780
-5.680344,4.270364
-5.822928,4.412948
-5.965512,4.555532
-6.108349,4.697863
-6.257385,4.833392
-6.441433,4.897726
-6.619427,4.805688
-6.806769,4.743038
-6.989835,4.816773
-7.149040,4.940436
-7.312229,5.058850
-7.483184,5.165403
-7.674499,5.227383
-7.863517,5.295367
-8.023563,5.417371
-8.167986,5.558081
-8.310990,5.700243
-8.461318,5.834429
-8.646669,5.895496
-8.821426,5.801780
-8.968633,5.664111
-9.112507,5.522829
-9.251598,5.376954
-9.378459,5.220246
-9.513626,5.070687
-9.655469,4.927371
-9.798043,4.784777
-9.940627,4.642193
-10.083212,4.499608
-10.225781,4.357010
-10.367301,4.213381
-10.495938,4.058667
-10.568990,3.872633
-10.580818,3.672373
-10.446880,3.546722
-10.246463,3.527176
-10.061400,3.452895
-9.908473,3.321954
-9.765107,3.180163
-9.621020,3.039109
-9.466995,2.909260
-9.296485,2.801851
-9.132208,2.685334
-8.984170,2.548504
-8.841244,2.406264
-8.698659,2.263679
-8.555719,2.121453
-8.407852,1.984420
-8.249089,1.860175
-8.094648,1.730644
-7.950125,1.590036
-7.807486,1.447506
-7.664657,1.305168
-7.516539,1.168477
-7.342522,1.070436
-7.146847,1.088773
-6.983163,1.204997
-6.833865,1.340496
-6.653830,1.414811
-6.481958,1.316368
-6.335196,1.178129
-6.177217,1.053913
-5.985686,1.000153
-5.784191,0.997803
-5.591741,1.053250
-5.395579,1.064160
-5.205989,0.995838
-5.014109,0.933906
-4.815463,0.904487
-4.614443,0.904271
-4.418597,0.857276
-4.221251,0.875339
-4.053205,0.985130
-3.890104,1.102300
-3.701529,1.071231
-3.549615,0.939291
-3.401843,0.802197
-3.231640,0.696738
-3.034233,0.665210
-2.832748,0.672222
-2.631135,0.673798
-2.429601,0.668913
-2.235437,0.713960
-2.075478,0.835556
-1.931340,0.976553
-1.788719,1.119101
-1.646135,1.261685
-1.503262,1.403979
-1.353533,1.538716
-1.167989,1.595867
-1.000542,1.486456
-0.850965,1.351305
-0.683023,1.240819
-0.502903,1.150541
-0.342988,1.028579
-0.198254,0.888207
-0.055631,0.745661
0.087343,0.603470
0.234469,0.465621
0.398677,0.349203
0.593713,0.320071
0.769676,0.414460
0.926001,0.541545
1.113519,0.579448
1.278330,0.465744
1.453375,0.372860
1.651234,0.402734
1.837155,0.339537
1.999452,0.220167
2.187943,0.161669
2.375062,0.227267
2.552177,0.322276
2.738314,0.263645
2.900656,0.144336
3.088571,0.079975
3.289922,0.081385
3.483223,0.026656
3.679621,-0.015468
3.880553,-0.008751
4.069817,0.056772
4.252321,0.138873
4.436212,0.074309
4.604111,-0.036378
4.799825,-0.054528
4.973838,0.043530
5.122975,0.179153
5.275242,0.311108
5.448368,0.413184
5.643899,0.456226
5.840338,0.420265
6.004858,0.305250
6.149812,0.165094
6.292654,0.022769
6.436642,-0.118397
6.570061,-0.269134
6.625449,-0.460369
6.628600,-0.661935
6.628600,-0.863580
